PassengerId,Pclass,SibSp,Parch,Sex_code,Age_scaled,Fare_scaled,Embark_code,result
892,3,0,0,1,0.45272319662402744,0.015281580671177828,2,0
893,3,1,0,0,0.6175656072794409,0.013663090060062943,1,0
894,2,0,0,1,0.815376500065937,0.018908740708122825,2,0
895,3,0,0,1,0.3538177502307794,0.016908073949327893,1,0
896,3,1,1,0,0.287880785968614,0.023983602730431916,1,1
897,3,0,0,1,0.18238164314914942,0.01800600082915438,1,0
898,3,0,0,0,0.3933799287880786,0.014891206669461744,2,1
899,2,1,1,1,0.34063035737834635,0.056604230248832196,1,0
900,3,0,0,0,0.23513121455888172,0.014110458666029575,0,1
901,3,2,0,1,0.27469339311618096,0.04713766070721715,1,0
902,3,0,0,1,0.39697468497225086,0.015411575213749286,1,0
903,1,0,0,1,0.6043782144270078,0.050748620223090936,1,0
904,1,1,0,0,0.3010681788210471,0.16057390443488287,1,1
905,2,1,0,1,0.8285638929183701,0.050748620223090936,1,0
906,1,1,0,0,0.6175656072794409,0.11940564777490723,1,1
907,2,1,0,0,0.31425557167348017,0.05410739813385612,0,1
908,2,0,0,1,0.459316893050244,0.024105594605968193,2,0
909,3,0,0,1,0.27469339311618096,0.014102260811993537,0,0
910,3,1,0,0,0.3538177502307794,0.015468569817999833,1,1
911,3,0,0,0,0.5911908215745747,0.014102260811993537,0,1
912,1,1,0,1,0.7230647500989055,0.11594107850967697,0,0
913,3,0,1,1,0.11644467888698405,0.0061889894232067975,1,0
914,1,0,0,0,0.39697468497225086,0.06184168304285603,1,1
915,1,0,1,1,0.27469339311618096,0.11980421963065935,0,1
916,1,1,3,0,0.630753000131874,0.5121218935012878,0,1
917,3,1,0,1,0.6571277858367401,0.028302115124416098,1,0
918,1,0,1,0,0.287880785968614,0.1209753416358076,0,1
919,3,0,0,1,0.29447448239483054,0.014102260811993537,0,0
920,1,0,0,1,0.5384412501648425,0.05953203526170282,1,0
921,3,2,0,1,0.39697468497225086,0.04231498029001666,0,0
922,2,1,0,1,0.6571277858367401,0.050748620223090936,1,0
923,2,2,0,1,0.31425557167348017,0.061483905270283246,1,0
924,3,1,2,0,0.43294210734537786,0.04015972542654215,1,0
